"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","SHPRICE","TOT","IDX2015","Q","2021-Q4",141.532,
"FRA","SHPRICE","TOT","IDX2015","Q","2022-Q1",139.4587,
"DEU","SHPRICE","TOT","IDX2015","Q","2016-Q4",96.20099,
"DEU","SHPRICE","TOT","IDX2015","Q","2017-Q1",104.4432,
"DEU","SHPRICE","TOT","IDX2015","Q","2017-Q2",109.9235,
"DEU","SHPRICE","TOT","IDX2015","Q","2017-Q3",108.3934,
"DEU","SHPRICE","TOT","IDX2015","Q","2017-Q4",115.3697,
"DEU","SHPRICE","TOT","IDX2015","Q","2018-Q1",112.7009,
"DEU","SHPRICE","TOT","IDX2015","Q","2018-Q2",111.4973,
"DEU","SHPRICE","TOT","IDX2015","Q","2018-Q3",108.9724,
"DEU","SHPRICE","TOT","IDX2015","Q","2018-Q4",98.3422,
"DEU","SHPRICE","TOT","IDX2015","Q","2019-Q1",97.97269,
"DEU","SHPRICE","TOT","IDX2015","Q","2019-Q2",102.7326,
"DEU","SHPRICE","TOT","IDX2015","Q","2019-Q3",101.2321,
"DEU","SHPRICE","TOT","IDX2015","Q","2019-Q4",108.1653,
"DEU","SHPRICE","TOT","IDX2015","Q","2020-Q1",102.3567,
"DEU","SHPRICE","TOT","IDX2015","Q","2020-Q2",93.52061,
"DEU","SHPRICE","TOT","IDX2015","Q","2020-Q3",105.2703,
"DEU","SHPRICE","TOT","IDX2015","Q","2020-Q4",106.6391,
"DEU","SHPRICE","TOT","IDX2015","Q","2021-Q1",116.5541,
"DEU","SHPRICE","TOT","IDX2015","Q","2021-Q2",124.263,
"DEU","SHPRICE","TOT","IDX2015","Q","2021-Q3",126.4414,
"DEU","SHPRICE","TOT","IDX2015","Q","2021-Q4",125.2661,
"DEU","SHPRICE","TOT","IDX2015","Q","2022-Q1",118.4183,
"GRC","SHPRICE","TOT","IDX2015","Q","2016-Q4",81.76666,
"GRC","SHPRICE","TOT","IDX2015","Q","2017-Q1",86.89425,
"GRC","SHPRICE","TOT","IDX2015","Q","2017-Q2",101.7199,
"GRC","SHPRICE","TOT","IDX2015","Q","2017-Q3",110.3987,
"GRC","SHPRICE","TOT","IDX2015","Q","2017-Q4",101.3695,
"GRC","SHPRICE","TOT","IDX2015","Q","2018-Q1",112.4799,
"GRC","SHPRICE","TOT","IDX2015","Q","2018-Q2",107.5014,
"GRC","SHPRICE","TOT","IDX2015","Q","2018-Q3",98.38707,
"GRC","SHPRICE","TOT","IDX2015","Q","2018-Q4",85.21928,
"GRC","SHPRICE","TOT","IDX2015","Q","2019-Q1",90.15636,
"GRC","SHPRICE","TOT","IDX2015","Q","2019-Q2",106.2809,
"GRC","SHPRICE","TOT","IDX2015","Q","2019-Q3",116.0294,
"GRC","SHPRICE","TOT","IDX2015","Q","2019-Q4",118.5714,
"GRC","SHPRICE","TOT","IDX2015","Q","2020-Q1",108.186,
"GRC","SHPRICE","TOT","IDX2015","Q","2020-Q2",84.5856,
"GRC","SHPRICE","TOT","IDX2015","Q","2020-Q3",86.03898,
"GRC","SHPRICE","TOT","IDX2015","Q","2020-Q4",93.37524,
"GRC","SHPRICE","TOT","IDX2015","Q","2021-Q1",108.3851,
"GRC","SHPRICE","TOT","IDX2015","Q","2021-Q2",121.3394,
"GRC","SHPRICE","TOT","IDX2015","Q","2021-Q3",120.1423,
"GRC","SHPRICE","TOT","IDX2015","Q","2021-Q4",120.8976,
"GRC","SHPRICE","TOT","IDX2015","Q","2022-Q1",122.6671,
"HUN","SHPRICE","TOT","IDX2015","Q","2016-Q4",143.0423,
"HUN","SHPRICE","TOT","IDX2015","Q","2017-Q1",156.1284,
"HUN","SHPRICE","TOT","IDX2015","Q","2017-Q2",161.6998,
"HUN","SHPRICE","TOT","IDX2015","Q","2017-Q3",175.3267,
"HUN","SHPRICE","TOT","IDX2015","Q","2017-Q4",185.3136,
"HUN","SHPRICE","TOT","IDX2015","Q","2018-Q1",185.1577,
"HUN","SHPRICE","TOT","IDX2015","Q","2018-Q2",175.8564,
"HUN","SHPRICE","TOT","IDX2015","Q","2018-Q3",172.0992,
"HUN","SHPRICE","TOT","IDX2015","Q","2018-Q4",183.0118,
"HUN","SHPRICE","TOT","IDX2015","Q","2019-Q1",194.0795,
"HUN","SHPRICE","TOT","IDX2015","Q","2019-Q2",196.6897,
"HUN","SHPRICE","TOT","IDX2015","Q","2019-Q3",192.3654,
"HUN","SHPRICE","TOT","IDX2015","Q","2019-Q4",205.3144,
"HUN","SHPRICE","TOT","IDX2015","Q","2020-Q1",196.6108,
"HUN","SHPRICE","TOT","IDX2015","Q","2020-Q2",167.1827,
"HUN","SHPRICE","TOT","IDX2015","Q","2020-Q3",166.5003,
"HUN","SHPRICE","TOT","IDX2015","Q","2020-Q4",176.616,
"HUN","SHPRICE","TOT","IDX2015","Q","2021-Q1",208.6995,
"HUN","SHPRICE","TOT","IDX2015","Q","2021-Q2",216.9197,
"HUN","SHPRICE","TOT","IDX2015","Q","2021-Q3",238.5741,
"HUN","SHPRICE","TOT","IDX2015","Q","2021-Q4",250.0295,
"HUN","SHPRICE","TOT","IDX2015","Q","2022-Q1",231.3313,
"ISL","SHPRICE","TOT","IDX2015","Q","2016-Q4",108.2026,
"ISL","SHPRICE","TOT","IDX2015","Q","2017-Q1",111.726,
"ISL","SHPRICE","TOT","IDX2015","Q","2017-Q2",119.2632,
"ISL","SHPRICE","TOT","IDX2015","Q","2017-Q3",117.7202,
"ISL","SHPRICE","TOT","IDX2015","Q","2017-Q4",114.7728,
"ISL","SHPRICE","TOT","IDX2015","Q","2018-Q1",119.1943,
"ISL","SHPRICE","TOT","IDX2015","Q","2018-Q2",118.5415,
"ISL","SHPRICE","TOT","IDX2015","Q","2018-Q3",112.3263,
"ISL","SHPRICE","TOT","IDX2015","Q","2018-Q4",108.8768,
"ISL","SHPRICE","TOT","IDX2015","Q","2019-Q1",112.8334,
"ISL","SHPRICE","TOT","IDX2015","Q","2019-Q2",126.0093,
"ISL","SHPRICE","TOT","IDX2015","Q","2019-Q3",126.4575,
"ISL","SHPRICE","TOT","IDX2015","Q","2019-Q4",127.2909,
"ISL","SHPRICE","TOT","IDX2015","Q","2020-Q1",126.3142,
"ISL","SHPRICE","TOT","IDX2015","Q","2020-Q2",123.5977,
"ISL","SHPRICE","TOT","IDX2015","Q","2020-Q3",132.3444,
"ISL","SHPRICE","TOT","IDX2015","Q","2020-Q4",147.984,
"ISL","SHPRICE","TOT","IDX2015","Q","2021-Q1",179.0672,
"ISL","SHPRICE","TOT","IDX2015","Q","2021-Q2",191.4798,
"ISL","SHPRICE","TOT","IDX2015","Q","2021-Q3",211.9906,
